"behaviour","varWaveWingBeat","varRestWaves","varOrigWave","eigenValue1","beatsSec","amplitude","propExplPC1","propExplPC2","propExplPC3","odbaAvg","odbasd","burstmeanx","burstmeany","burstmeanz","sdx","sdy","sdz","skewx","skewy","skwz","kurtx","kurty","kurtz","xmax","ymax","zmax","xmin","ymin","zmin","xycorr","xzcorr","yzcorr","trendx","trendy","trendz","dynxmax","dynymax","dynzmax","xycross","xzcross","yzcross","rollanimaltrack","pitchanimaltrack","autcorxmean","autcorymean","autcorzmean","autcorxsd","autcorysd","autcorzsd","dynxmean","dynymean","dynzmean","dynxmin","dynymin","dynzmin","dynxsd","dynysd","dynzsd"
"Walking",0.00779627293833991,0.586384759909894,0.609773578724914,49.4402195937581,2.14619366241636,0.249266790430691,0.56834,0.29476,0.1369,1.22096469623436,0.976359609724165,0.264271129261364,-0.296438506155303,-0.769420276988636,0.775760405023951,0.545795655700958,0.416173694714163,0.153659785048583,0.87736159093091,-0.0503417618996815,6.57899011713685,5.69715127164169,7.87706030703932,3.62890625,2.322265625,1.24609375,-2.91796875,-2.021484375,-2.982421875,0.116494556213545,-0.0552080288104556,0.260435552978964,-0.00148120970164646,-0.0014765921288944,-0.000200382913335051,3.36463512073864,2.6187041311553,2.01551402698864,59,40,44,0.218953510955784,-0.289232277801587,0.0507143406444859,0.0632680700478376,0.0380568401572369,0.20751946965465,0.233799359594254,0.226599739281695,-2.68518684639038e-17,-6.39828154223844e-18,-1.38777878078145e-17,-3.18223987926136,-1.7250458688447,-2.21300159801136,0.775760405023951,0.545795655700958,0.416173694714163
"Active",0.121306856099694,0.666449445539354,1.03037001383844,169.244662672916,3.53490720868577,0.98324914617873,0.66204,0.26075,0.07721,1.47622380812744,1.00171877240014,-0.0494495738636364,-0.326430812026515,-1.07439630681818,0.370907522672025,0.77159060520109,0.907433021925847,0.630915828607415,-0.233591603956852,0.201328716438999,11.3334277997725,10.5936091533655,2.70230071647735,2.4296875,3.390625,1.658203125,-1.5546875,-4,-4,0.315621413021548,0.131480166988294,0.415345783318449,-0.000176327588469891,0.00057487506949925,-0.00159856037711392,2.47913707386364,3.71705581202652,2.73259943181818,98,51,65,-0.0728568539737026,-0.231956117734083,0.0219247931834747,0.0253840052732317,0.0460810129129128,0.22096657881779,0.27029211678026,0.517182473301628,-7.85348414562133e-18,-1.34701852865297e-17,5.55111512312578e-17,-1.50523792613636,-3.67356918797348,-2.92560369318182,0.370907522672025,0.77159060520109,0.907433021925847
"Active",0.015499921694052,0.209641808744774,0.25614157382693,45.7023243563502,3.40866052266128,0.351467891784764,0.70033,0.16947,0.1302,0.65658981281207,0.560976061095664,-0.0238591974431818,-0.294507575757576,-1.07883522727273,0.252248096973411,0.241942790202267,0.493536375846171,-0.77173056419348,-1.23250146236381,0.908452178330363,6.13562009446682,9.26388232885869,4.35557263706282,0.634765625,0.53125,0.521484375,-1.078125,-1.58984375,-2.36328125,0.030308622540792,0.167761535268964,0.376079856982925,-0.000146445842151517,-0.000315230545917602,-0.000188762552664531,0.658624822443182,0.825757575757576,1.60031960227273,52,20,22,-0.00693088381739677,-0.275599623936695,0.0312461106434904,0.0448893057891586,0.0572856602953001,0.228813640088436,0.263554127780412,0.445983126841123,1.66326469642663e-18,-1.55258444126881e-17,2.01861811869837e-17,-1.05426580255682,-1.29533617424242,-1.28444602272727,0.252248096973411,0.241942790202267,0.493536375846171
"Walking",0.0121830252607762,0.70558082579643,0.742129901578758,64.0298786241345,2.77742709253882,0.311600737326711,0.48976,0.3936,0.11664,1.37078403441374,1.34520769474319,-0.0282315340909091,-0.384136777935606,-0.889715021306818,0.822450419806184,0.553859180781939,0.729448681456324,-0.150215726804518,-0.79076803178481,-1.00826417339452,8.11537827194772,7.01886423379231,6.49950267181387,3.63671875,2.11328125,0.8515625,-3.869140625,-2.681640625,-3.998046875,0.0353611335944574,0.124863580928485,0.528486887643403,0.00022718585321433,-0.000611521400672736,0.000378919293846889,3.66495028409091,2.49741802793561,1.74127752130682,87,44,50,0.0277661522595278,-0.285456232903531,0.0133824252399393,0.0849178075052395,0.025445201266996,0.225329319259486,0.212199073334902,0.285012154187118,1.25296193677664e-17,8.4031828607243e-18,6.97964902250269e-17,-3.84090909090909,-2.29750384706439,-3.10833185369318,0.822450419806184,0.553859180781939,0.729448681456324
"Active",0.0508284739936289,0.286275438071322,0.438760860052209,91.4315428813301,3.40866052266128,0.636464873470127,0.73678,0.15943,0.10378,0.948700988040921,0.52983771447233,-0.0515728574810606,-0.253669507575758,-1.02220939867424,0.308037251822665,0.27361869869414,0.652499524495166,-0.0809036332355656,-0.2688282280431,0.377624059854748,5.34361808235232,3.91486705925995,2.25283841284007,1.2109375,0.55078125,0.53515625,-1.087890625,-1.103515625,-2.296875,0.137794077702372,0.112857087065174,0.357988734270413,-7.63899390770827e-05,0.000600256433877479,0.000137122166631881,1.26251035748106,0.804450757575758,1.55736564867424,77,32,36,-0.0181627527098965,-0.293563073652901,0.0287353587259083,0.0532933951268063,0.0938088907402246,0.217535225617242,0.328711062209703,0.528118163809729,-4.40693275090865e-18,-6.65796130973455e-18,6.66535359727423e-18,-1.03631776751894,-0.849846117424242,-1.27466560132576,0.308037251822665,0.27361869869414,0.652499524495166
"Active",0.00702250468100309,0.0991744459336501,0.120241959976659,21.6931841820338,0.378740058073476,0.236573950966443,0.77856,0.15279,0.06864,0.398837227028811,0.364901646727709,-0.0979891690340909,-0.222989169034091,-1.08780924479167,0.155914402472484,0.123721782630027,0.33885804446483,1.06171397525041,-1.38301341202997,1.89719510476433,13.9643393447976,12.2234758460097,8.14203247251782,0.986328125,0.27734375,0.337890625,-0.654296875,-0.986328125,-1.978515625,-0.0154028436739685,0.207311907507455,0.499565545564603,-0.000134933118694116,-2.14975080138135e-05,-0.00123813175528602,1.08431729403409,0.500332919034091,1.42569986979167,53,6,8,-0.0800839704048157,-0.203595527541771,0.0583200533378188,0.0920692716352926,0.282912628995597,0.226161229530937,0.254420024520141,0.316124190558001,4.0921188388458e-18,3.99133154349694e-18,7.41001491255332e-17,-0.556307705965909,-0.763338955965909,-0.890706380208333,0.155914402472484,0.123721782630027,0.33885804446483
"Active",0.0193649020004359,0.235037257562047,0.293131963563355,62.1667639270843,3.40866052266128,0.392851626942479,0.79676,0.11633,0.08691,0.668007422413051,0.514843984668438,-0.096435546875,-0.265247691761364,-1.05826083096591,0.190529826187589,0.230042636875563,0.527906493918531,0.212453994977785,-0.93301164612357,0.939402524649898,5.8484333325984,6.63045535589779,3.34748243579775,0.61328125,0.4375,0.255859375,-0.81640625,-1.248046875,-2.2265625,0.00876432856092039,0.219703820510655,0.451763428781517,0.000103027920150461,-2.04873741676393e-05,0.00055590416991404,0.709716796875,0.702747691761364,1.31412020596591,64,24,22,-0.0855621194757141,-0.251374397786941,0.0465222782062163,0.032076701137008,0.183355748232623,0.221327404507082,0.328728663720741,0.453601117562886,0,1.01006882223521e-17,8.07568398858469e-17,-0.719970703125,-0.982799183238636,-1.16830166903409,0.190529826187589,0.230042636875563,0.527906493918531
"Active",0.00615358610295369,0.114475558567156,0.132936316876017,23.3170577275085,3.40866052266128,0.221454773074502,0.75637,0.13205,0.11158,0.418054726060319,0.415545240080206,-0.0903912168560606,-0.225852272727273,-1.05681078361742,0.160630166417044,0.150381852555288,0.356845849831374,0.010714158384631,-1.33661868198482,0.992802737942934,5.8578714171401,8.53096851034945,5.87016400849227,0.5078125,0.236328125,0.103515625,-0.8046875,-0.98828125,-2.107421875,0.0884856658134885,0.294657835635175,0.328954962468232,-1.02159816473083e-06,-0.000137448262804166,0.000308989498276582,0.598203716856061,0.462180397727273,1.16032640861742,49,10,18,-0.094087913849763,-0.232629781386649,0.0556255302995233,0.0275050281316489,0.10442577835246,0.235779906237108,0.275113523760579,0.418569186635913,1.04580334554331e-18,5.3692648496498e-18,6.72710037405418e-17,-0.714296283143939,-0.762428977272727,-1.05061109138258,0.160630166417044,0.150381852555288,0.356845849831374
"Active",0.0020969029782279,0.068446042460697,0.0747367513953807,12.9238656919372,0.631233430122459,0.129273668282955,0.73032,0.17253,0.09715,0.294912795389979,0.331470688788347,-0.0762754498106061,-0.213623046875,-1.0751953125,0.138057173888878,0.111252068701507,0.26626540430963,-1.34803189783824,-1.55609717800698,2.21624040520745,13.0347544444265,26.3208677518273,11.4124344822059,0.4375,0.3984375,0.158203125,-0.91015625,-1.158203125,-1.87109375,0.240359033862076,0.265678639066666,0.366106973371555,7.80134139660467e-05,1.04981312651227e-05,-0.000527171403077697,0.513775449810606,0.612060546875,1.2333984375,44,8,6,-0.0737125334527895,-0.202956008193771,0.0468744808991217,0.0279930459840748,0.153529304417492,0.254724105214232,0.253290283242479,0.351562763700835,5.40866471552966e-18,0,0,-0.833880800189394,-0.944580078125,-0.7958984375,0.138057173888878,0.111252068701507,0.26626540430963
"Active",0.0029613041930543,0.0921426139728521,0.101026526552015,18.4301656433821,3.28241383663679,0.153625183657289,0.73963,0.1347,0.12567,0.369946692600723,0.360947826017629,-0.102139559659091,-0.242720170454545,-1.03068773674242,0.138679403345467,0.153711876104024,0.30615571184401,-1.05284088365684,-1.98994732573728,1.13991683618572,12.1826014569706,16.507375569148,7.49865250260125,0.44921875,0.2734375,0.16015625,-0.95703125,-1.330078125,-2.078125,0.100185310135607,0.225132921941944,0.459203785109253,-9.48557717392011e-05,3.81354187727044e-05,-0.000859960189771667,0.551358309659091,0.516157670454545,1.19084398674242,33,4,8,-0.0950820361696063,-0.240748035633304,0.0476830851934513,0.0937801389563462,0.161108500235796,0.233668933394743,0.274998110353234,0.3963921741439,4.09483961134304e-18,-1.4411906250221e-17,6.72795703237584e-17,-0.854891690340909,-1.08735795454545,-1.04743726325758,0.138679403345467,0.153711876104024,0.30615571184401
